Prefix  ,Multiplier                ,UnitSymbol
NoPrefix,1                         ,
Deca    ,10                        ,da
Hecto   ,100                       ,h
Kilo    ,1000                      ,k
Mega    ,1000000                   ,M
Giga    ,1000000000                ,G
Tera    ,1000000000000             ,T
Peta    ,1000000000000000          ,P
Exa     ,1000000000000000000       ,E
Zetta   ,1000000000000000000000    ,Z
Yotta   ,1000000000000000000000000 ,Y
Deci	,0.1                       ,d
Centi	,0.01                      ,c
Milli	,0.001                     ,m
Micro	,0.000001                  ,Âµ
Nano	,0.000000001               ,n
Pico	,0.000000000001            ,p
Femto	,0.000000000000001         ,f
Atto	,0.000000000000000001      ,a
Zepto	,0.000000000000000000001   ,z
Yocto	,0.000000000000000000000001,y